table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
71,4,499,425,74,14,10,4,0.04981391354136845,0.86986487959028,0.3626373626373627,0.4901098901098901,0.26060233357689017,0.4,0.8,0.6
72,4,435,370,65,15,12,3,0.0485823754789272,0.7148614629264785,0.2285714285714285,0.0035714285714285704,-0.6750248159734914,0.6,0.2,0.0
73,4,448,382,66,12,11,1,0.04780505952380952,0.8303810160427807,0.22377622377622378,0.29772374904379717,-0.11800054647490729,0.4,0.6,0.2
74,3,420,357,63,12,8,4,0.05238095238095238,0.912280701754386,0.3076923076923077,0.2491243405669889,0.4803844614152615,0.6,0.6,0.4
75,2,466,396,70,9,6,3,0.05484024797329518,0.9404761904761905,0.2761530448893886,0.108787563138244,0.3745528735338494,0.6,0.4,0.6
76,3,400,340,60,13,11,2,0.051923076923076926,0.8353535353535353,0.5879120879120878,0.2503441157857319,-0.24899220808978614,0.8,0.6,0.4
77,3,412,350,62,11,6,5,0.04964695498676081,0.8530701754385964,0.4090909090909091,0.7181818181818183,0.26484294368678946,0.6,0.6,0.6
78,4,499,424,75,8,7,1,0.05536072144288577,0.7786184210526317,0.9285714285714287,0.9047619047619048,0.4523809523809524,1.0,1.0,0.8
79,3,477,405,72,16,12,4,0.05201781970649895,0.8394648829431438,0.7608537747840488,0.478292991885524,0.2833940185997066,1.0,0.6,0.6
80,2,495,421,74,13,10,3,0.051903651903651905,0.9433823529411764,0.4450549450549451,0.38514479351651065,0.166977554209118,0.4,0.4,0.6
81,2,491,417,74,13,13,0,0.04778317405608648,0.9293154761904762,0.34615384615384615,0.008345577343596845,0.18119581169603363,0.4,0.6,0.6
82,2,448,381,67,11,8,3,0.053368506493506496,0.8824324324324324,0.690909090909091,0.4965844318602437,0.5589873898667204,0.8,0.8,0.8
83,3,462,392,70,13,10,3,0.05011655011655012,0.900806922546053,0.5549450549450549,0.15282556426613458,0.09177535077318613,0.8,0.4,0.4
84,4,491,417,74,8,7,1,0.04124236252545825,0.8806390977443609,0.9285714285714287,0.9285714285714287,0.24551430807011818,1.0,1.0,0.6
85,2,431,366,65,15,9,6,0.049651972157772624,0.922201138519924,0.4642857142857142,0.5183201354778814,0.2769226230189053,0.8,0.8,0.6
86,2,454,386,68,16,12,4,0.052588105726872246,0.9714285714285714,0.8226639460431011,0.5082339104978004,0.2895691063972107,0.8,0.8,0.4
87,3,462,393,69,10,7,3,0.048917748917748916,0.8708853238265003,0.5757575757575757,0.34545454545454546,-0.12884405501936824,0.6,0.6,0.4
88,3,405,345,60,12,8,4,0.0551440329218107,0.9169000933706816,0.5174825174825175,0.43356643356643365,0.5919448657459025,0.8,0.8,0.8
89,2,478,406,72,11,8,3,0.05401293267402054,0.8476190476190477,0.6181818181818182,0.8018244037376412,0.41286141192238524,0.8,1.0,0.6
90,4,482,409,73,14,5,9,0.04534676941315945,0.5536518788117253,0.1164835164835165,0.12967032967032965,0.5060509112826415,0.4,0.2,0.6
91,4,417,355,62,14,10,4,0.05327166837958205,0.8887168902648779,0.5340659340659341,0.7836720969929772,0.6953571367123854,0.6,0.8,0.4
92,2,424,361,63,9,7,2,0.05319706498951782,0.8154158215010142,0.18333333333333335,0.48333333333333334,0.008512565307587486,0.6,0.8,0.6
93,2,422,358,64,8,6,2,0.054206161137440756,0.8836032388663968,0.1666666666666667,0.7380952380952381,0.4787529007367305,0.4,0.8,0.6
94,2,506,430,76,13,10,3,0.04712678625722104,0.9466389466389467,0.5384615384615384,0.5138199967021417,-0.2613019403957156,0.6,0.4,0.2
95,3,427,362,65,15,12,3,0.0498048399687744,0.7000407000407001,0.09999999999999999,0.05357142857142857,-0.12138956058973138,0.4,0.4,0.2
96,4,465,395,70,12,8,4,0.05268817204301075,0.8318181818181818,0.8461538461538463,0.6573426573426573,0.23240012901731957,0.8,0.8,0.6
97,2,409,348,61,8,4,4,0.05012224938875306,0.8844444444444444,0.7380952380952381,0.523809523809524,0.20868716185960046,0.8,0.6,0.6
98,3,499,425,74,15,7,8,0.0511690046760187,0.8547008547008547,0.8178571428571428,0.37857142857142856,0.3018927632559766,0.8,0.6,0.6
99,2,494,420,74,9,8,1,0.0465587044534413,0.9036764705882353,0.45,0.21849510977216466,0.36604030822626193,0.8,0.6,0.6
