table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
31,4,404,343,61,13,8,5,0.046458492003046456,0.833562271062271,0.5494505494505494,0.3906468619953179,0.29765892525495413,0.6,0.4,0.6
32,4,463,395,68,16,10,6,0.04724622030237581,0.8797619047619047,0.3929360887182612,0.5459898461216288,0.5452378662469118,0.6,0.6,0.8
33,4,412,351,61,15,9,6,0.050970873786407765,0.8584795321637426,0.5964285714285712,0.20196612175517445,-0.028332883608591302,0.8,0.6,0.4
34,4,504,428,76,12,8,4,0.0496031746031746,0.909018759018759,0.5314685314685316,0.4550441482054972,0.20358378746729627,0.6,0.6,0.4
35,2,400,340,60,15,11,4,0.0505,0.98,0.5558536625297279,0.4330127018922193,0.4330127018922193,0.4,0.4,0.4
36,4,448,381,67,12,8,4,0.04836309523809524,0.8035136432195256,0.7972027972027973,0.5244755244755246,0.5361760505987254,1.0,0.8,0.8
37,3,403,343,60,11,8,3,0.05256034288292353,0.8174171842650103,0.5909090909090909,0.38181818181818183,0.10022805046720515,0.8,0.6,0.4
38,2,401,341,60,9,6,3,0.04821280133000831,1.0,0.9,0.8355727485873495,0.6755244875897048,1.0,0.8,0.8
39,3,452,384,68,16,15,1,0.05323561946902655,0.9855072463768115,0.6195733833347864,0.683185445515959,0.021508040901499274,0.8,0.8,0.4
40,2,490,417,73,10,6,4,0.05061224489795919,0.9333333333333333,-0.16363636363636364,0.18902790432892227,-0.027417204038422165,0.4,0.6,0.6
41,2,451,384,67,16,12,4,0.048641906873614194,0.9444444444444444,0.27982357298344906,0.7155751875172466,0.040603197495563334,0.4,0.8,0.2
42,3,452,384,68,13,9,4,0.053948264125255274,0.717948717948718,0.4175824175824176,0.17032967032967034,0.30706128474209876,0.4,0.4,0.6
43,4,434,369,65,11,9,2,0.05571847507331378,0.9455266955266955,0.6545454545454547,0.07289312761251283,-0.17529196424044294,0.6,0.4,0.2
44,4,408,347,61,13,7,6,0.053167420814479636,0.6194444444444445,0.08241758241758242,0.3603854853618778,-0.4269988654375292,0.4,0.6,0.4
45,3,468,398,70,13,9,4,0.05259697567389875,0.8379953379953381,0.7730406212724249,0.320892874144896,0.05361587050784258,0.8,0.6,0.2
46,4,426,363,63,9,9,0,0.05372978612415232,0.8402777777777778,0.6666666666666667,0.38333333333333336,-0.16666666666666669,0.8,0.8,0.6
47,2,426,362,64,16,8,8,0.05149647887323944,0.906158357771261,0.3941176470588235,0.25782849219786824,0.06941777953839878,0.2,0.4,0.2
48,4,501,426,75,8,4,4,0.04441117764471058,0.6132604237867395,-0.3571428571428572,-0.09523809523809526,0.023809523809523815,0.6,0.8,0.6
49,2,465,396,69,10,8,2,0.056129032258064517,0.9699477351916377,0.7575757575757575,-0.07784989441615228,0.09693667772552661,0.8,0.4,0.6
50,2,456,387,69,8,5,3,0.047697368421052634,0.8897804054054055,0.023809523809523815,0.11904761904761905,0.4398859193825721,0.8,0.8,0.8
51,3,436,370,66,8,5,3,0.047878440366972475,0.7625641025641027,0.38095238095238104,0.4523809523809524,0.6666666666666669,0.8,0.8,0.8
52,3,495,421,74,8,6,2,0.04696969696969697,0.8475989278088228,0.6428571428571429,0.3333333333333334,0.3132757502627219,0.6,0.4,0.6
53,2,406,345,61,10,6,4,0.04975369458128079,0.9016129032258065,0.4666666666666666,0.2735574946560291,0.14233108207557335,0.6,0.6,0.6
54,4,474,403,71,10,7,3,0.05548523206751055,0.8895098039215686,0.5272727272727272,0.6,0.8024353176576853,0.6,0.8,0.8
55,3,494,420,74,12,11,1,0.04993252361673414,0.9355172413793102,0.6643356643356644,0.607021280536466,0.8173804338791473,0.8,0.8,1.0
56,3,434,369,65,9,7,2,0.04838709677419355,0.9727777777777779,0.09999999999999999,0.03651483716701107,0.04950737714883372,0.6,0.4,0.4
57,3,413,350,63,10,9,1,0.049394673123486686,0.8439153439153438,0.5636363636363636,0.20668788485122197,0.6399490908144193,0.6,0.6,0.6
58,3,434,369,65,13,8,5,0.056008507621410845,0.8987179487179487,0.7747252747252747,0.23757268664722683,0.33516145737804326,1.0,0.4,0.4
59,2,421,358,63,12,7,5,0.04631828978622328,0.9508113590263692,0.7880922768806397,0.5569185423289853,0.085843607211052,0.8,0.8,0.6
60,2,508,432,76,16,14,2,0.049335629921259845,0.9736111111111111,0.19705882352941176,0.3067859955389482,0.15473739681095514,0.4,0.2,0.2
61,3,450,383,67,14,11,3,0.04825396825396826,0.861111111111111,0.5824175824175825,0.745054945054945,0.45661092635267075,0.8,0.6,0.6
62,4,507,430,77,13,8,5,0.04961310878470642,0.7049565018315018,0.5,0.532967032967033,0.3878958277559143,0.8,0.8,0.8
63,2,472,402,70,10,7,3,0.048940677966101694,0.8552522746071134,0.705170430668875,0.6484848484848483,0.4268372033233729,1.0,0.8,0.8
64,2,504,428,76,11,9,2,0.049062049062049064,0.9458333333333333,0.6818181818181819,0.38356564258086745,0.6358507844578741,1.0,0.6,0.8
65,4,447,379,68,9,6,3,0.055182699478001494,0.9724702380952381,0.6833333333333333,0.6276205565667923,-0.11009637651263605,0.6,0.6,0.6
66,3,492,418,74,8,6,2,0.055640243902439025,0.8111888111888113,0.7380952380952381,0.5714285714285715,0.4419257545262127,0.8,0.8,0.8
67,2,481,409,72,12,6,6,0.05318780318780319,0.914860681114551,0.8231186002975569,0.4125874125874127,0.06774921032046358,0.8,0.8,0.4
68,4,431,366,65,15,12,3,0.051817478731631866,0.6661249219887664,0.7607142857142856,0.4392857142857142,0.42947839534629995,0.8,0.6,0.6
69,4,418,355,63,9,7,2,0.04784688995215311,0.8884920634920634,0.5166666666666667,0.33333333333333337,0.4371858854891681,0.6,0.4,0.6
70,2,487,414,73,16,11,5,0.05094969199178645,1.0,0.5162264348011147,0.7851796405558771,0.16803361008336118,0.8,0.6,0.6
71,4,499,424,75,14,11,3,0.05124534783853421,0.9194055944055944,0.5088118069738014,0.4608104415142029,-0.6350726135720839,0.6,0.8,0.0
72,4,435,371,64,15,11,4,0.05318007662835249,0.6522321428571429,0.38248451376643655,0.16621990551532057,0.40071620469168573,0.6,0.6,0.8
73,4,448,381,67,12,7,5,0.04631696428571429,0.7959261133603238,0.3426573426573427,0.33975533714409795,-0.1940110709403283,0.8,0.6,0.2
74,3,420,357,63,12,9,3,0.05337301587301587,0.839894419306184,0.6164632921377448,0.5734265734265735,0.36204369645496653,0.6,0.6,0.6
75,2,466,397,69,9,6,3,0.05674773485932284,0.9033101045296168,0.5690426379538917,0.6950150912113306,0.2608745973749755,0.8,0.8,0.6
76,3,400,340,60,13,10,3,0.04692307692307692,0.8853716416645478,0.6373626373626374,0.0,0.10942113157896552,0.8,0.4,0.6
77,3,412,351,61,11,8,3,0.04964695498676081,0.9226190476190476,0.31193973345246884,0.5504818825631803,-0.4239676354338205,0.6,0.6,0.2
