table_id,num_classes,feature_column,global_node_id,layer,node_in_layer,feature_type,cardinality,observation_type,gt_importance,single_feature_balanced_accuracy,permutation_importance,drop_column_importance
26,3,6,24,2,6,continuous,0,continuous_scalar,0.0013501888058700146,0.2889957264957265,-0.028373015873015793,-0.052579365079365115
26,3,7,19,2,1,continuous,0,continuous_scalar,0.37546669170061864,0.6802503052503052,0.3107905982905984,0.0960012210012211
26,3,8,0,0,0,categorical,5,prototype_discretization,0.00993134871743255,0.45856227106227104,0.016666666666666698,-0.02869352869352859
26,3,9,26,2,8,continuous,0,continuous_scalar,0.05735589825589118,0.4007173382173382,0.04265873015873023,0.004960317460317554
26,3,10,15,1,7,categorical,3,threshold_binning,0.03592499509484019,0.45535714285714285,0.016666666666666698,-0.031746031746031744
26,3,11,11,1,3,continuous,0,continuous_scalar,0.0014926716202319688,0.38209706959706957,0.007142857142857206,-0.04952686202686185
26,3,12,34,3,7,continuous,0,continuous_scalar,0.06498021928968908,0.37423687423687424,0.11724664224664232,0.02083333333333337
27,4,0,14,1,6,continuous,0,continuous_scalar,0.05429417201706745,0.2108134920634921,0.04236111111111116,0.05208333333333337
27,4,1,27,2,9,categorical,3,threshold_binning,0.010128251154285608,0.32291666666666663,0.036111111111111135,0.00347222222222221
27,4,2,22,2,4,continuous,0,continuous_scalar,0.28050678628814574,0.49057539682539686,0.23759920634920642,0.1741071428571429
27,4,3,9,1,1,continuous,0,continuous_scalar,0.2850783730801019,0.3392857142857143,0.37599206349206354,0.3348214285714287
27,4,4,10,1,2,continuous,0,continuous_scalar,0.021465638392555247,0.30208333333333337,0.04613095238095244,0.014384920634920806
27,4,5,6,0,6,categorical,4,threshold_binning,0.13217301506712176,0.373015873015873,0.015575396825396926,0.014384920634920806
27,4,6,7,0,7,categorical,5,threshold_binning,0.0319696288410526,0.29960317460317465,-0.0013888888888888174,-0.003472222222222099
27,4,7,30,3,2,categorical,4,prototype_discretization,0.18438413515966967,0.4722222222222222,0.16607142857142865,0.042162698412698485
28,2,0,20,2,3,continuous,0,continuous_scalar,0.027219361619564425,0.5595533498759305,0.0,0.0
28,2,1,5,0,5,continuous,0,continuous_scalar,0.01718788093641182,0.4433416046319272,-0.0032258064516129,0.0
28,2,2,12,1,4,continuous,0,continuous_scalar,0.008471341160315976,0.5078577336641853,0.0,0.016129032258064502
28,2,3,2,0,2,continuous,0,continuous_scalar,0.017199332479178566,0.5016542597187759,0.0,0.016129032258064502
28,2,4,16,1,8,continuous,0,continuous_scalar,0.3740182050053631,0.7940446650124069,0.16352357320099248,0.0
28,2,5,25,2,8,continuous,0,continuous_scalar,0.03960541397854463,0.4950372208436724,0.0,0.0
28,2,6,26,3,0,categorical,3,prototype_discretization,0.016402179932854668,0.48345740281224153,0.0032258064516129,0.0
28,2,7,7,0,7,continuous,0,continuous_scalar,0.019933921031270285,0.4499586435070306,0.0,0.0
28,2,8,27,3,1,categorical,2,threshold_binning,0.0045928709838909945,0.575682382133995,0.0064516129032258,0.016129032258064502
28,2,9,29,3,3,continuous,0,continuous_scalar,0.24981851234880806,0.9036393713813069,0.16600496277915638,0.019437551695616118
28,2,10,21,2,4,categorical,3,threshold_binning,0.012006924895805082,0.49048800661703884,-0.0032258064516129,-0.016129032258064502
28,2,11,22,2,5,continuous,0,continuous_scalar,0.10358141714774233,0.5111662531017369,-0.0006617038875103232,0.0
28,2,12,31,3,5,continuous,0,continuous_scalar,0.10996263848025008,0.42431761786600497,0.011579818031430955,0.0
29,2,0,2,0,2,continuous,0,continuous_scalar,0.0056071614037008334,0.4990808823529412,-0.0204044117647058,0.015625
29,2,1,6,0,6,categorical,2,prototype_discretization,0.018965393976015012,0.5,-0.003125,0.0009191176470588758
29,2,2,15,1,7,continuous,0,continuous_scalar,0.009804730650577475,0.44025735294117646,-0.0211397058823529,-0.014705882352941124
29,2,3,31,3,5,continuous,0,continuous_scalar,0.1958183715502714,0.6838235294117647,0.0194852941176471,0.0009191176470588758
29,2,4,10,1,2,categorical,3,prototype_discretization,0.06196402977652208,0.5101102941176471,0.0,0.0
29,2,5,32,3,6,categorical,2,threshold_binning,0.03432148443927654,0.5569852941176471,0.0514705882352942,0.0
29,2,6,5,0,5,continuous,0,continuous_scalar,0.15103674469459458,0.4724264705882353,-0.026470588235294024,0.0009191176470588758
29,2,7,8,1,0,continuous,0,continuous_scalar,0.007304912225889661,0.4834558823529412,0.0068014705882353255,0.016544117647058876
29,2,8,19,2,1,categorical,4,prototype_discretization,0.04103526245741171,0.7637867647058824,0.08768382352941181,0.046875
29,2,9,22,2,4,continuous,0,continuous_scalar,0.08568049525456393,0.5459558823529411,-0.009742647058823417,-0.013786764705882248
29,2,10,4,0,4,continuous,0,continuous_scalar,0.1275733903495491,0.5597426470588236,0.018566176470588246,-0.013786764705882248
29,2,11,9,1,1,continuous,0,continuous_scalar,0.14931792549237718,0.6691176470588236,-0.01102941176470582,0.03125
29,2,12,11,1,3,continuous,0,continuous_scalar,0.08500631454423066,0.6066176470588236,0.03308823529411773,0.03125
29,2,13,0,0,0,continuous,0,continuous_scalar,0.007825149500142486,0.3961397058823529,-0.0409926470588234,-0.028492647058823373
29,2,14,25,2,7,categorical,4,prototype_discretization,0.005663654036092435,0.47702205882352944,0.009926470588235325,-0.02941176470588225
29,2,15,17,1,9,continuous,0,continuous_scalar,0.013074979648784945,0.5009191176470589,-0.009007352941176449,0.03125
30,4,0,31,3,6,continuous,0,continuous_scalar,0.183520404081726,0.6806818181818182,0.47563131313131307,0.10239898989898977
30,4,1,25,3,0,categorical,2,threshold_binning,0.021380906518063313,0.2625,0.00045454545454539643,0.0
30,4,2,19,2,3,continuous,0,continuous_scalar,0.06290547978129536,0.19936868686868686,0.06646464646464638,0.06161616161616146
30,4,3,2,0,2,continuous,0,continuous_scalar,0.20118085920005135,0.44861111111111107,0.038131313131313106,0.011363636363636243
30,4,4,10,1,2,continuous,0,continuous_scalar,0.009025375042092568,0.2861111111111111,0.010732323232323182,0.0599747474747474
30,4,5,3,0,3,continuous,0,continuous_scalar,0.15435848691264573,0.3089646464646465,0.14765151515151512,0.09154040404040398
30,4,6,1,0,1,continuous,0,continuous_scalar,0.0036455374365485507,0.29393939393939394,0.008838383838383822,0.03194444444444433
30,4,7,24,2,8,continuous,0,continuous_scalar,0.09355189543308909,0.33232323232323235,0.005858585858585852,0.011111111111111072
30,4,8,8,1,0,continuous,0,continuous_scalar,0.07655811086139815,0.30732323232323233,0.04255050505050493,0.018308080808080662
30,4,9,4,0,4,continuous,0,continuous_scalar,0.0015713060180672935,0.2684343434343434,0.000505050505050475,-0.011363636363636465
30,4,10,7,0,7,continuous,0,continuous_scalar,0.0031861462471885088,0.302020202020202,0.026666666666666616,0.02499999999999991
30,4,11,15,1,7,categorical,4,threshold_binning,0.18911549246783405,0.5996212121212121,0.039065656565656456,-0.025252525252525304
31,4,0,2,0,2,categorical,2,threshold_binning,0.02409879935764904,0.325,0.0,0.013636363636363669
31,4,1,11,1,3,continuous,0,continuous_scalar,0.011598067741955575,0.22727272727272727,0.00022727272727269822,-0.025000000000000133
31,4,2,3,0,3,continuous,0,continuous_scalar,0.0007776975031760128,0.21704545454545454,0.005454545454545423,-0.036363636363636376
31,4,3,19,2,5,categorical,2,threshold_binning,0.2886490089531088,0.5,0.3425,-0.03409090909090917
31,4,4,29,3,7,continuous,0,continuous_scalar,0.40985632988196546,0.7670454545454546,0.4084090909090909,0.3318181818181818
31,4,5,30,3,8,continuous,0,continuous_scalar,0.007520915585368491,0.3022727272727273,0.007499999999999974,-0.036363636363636376
31,4,6,15,2,1,categorical,2,prototype_discretization,0.020519622564233495,0.2681818181818182,-0.002499999999999991,-0.04886363636363633
31,4,7,25,3,3,continuous,0,continuous_scalar,0.0005794412299334748,0.23863636363636362,0.002727272727272667,-0.02386363636363642
31,4,8,14,2,0,continuous,0,continuous_scalar,0.0026187346011985932,0.25113636363636366,-0.012499999999999956,-0.011363636363636465
31,4,9,12,1,4,continuous,0,continuous_scalar,0.05956859232915284,0.27045454545454545,0.02613636363636358,-0.011363636363636465
31,4,10,8,1,0,continuous,0,continuous_scalar,0.05864582306462326,0.2159090909090909,0.005681818181818144,0.013636363636363558
31,4,11,5,0,5,continuous,0,continuous_scalar,0.06279079319656983,0.26477272727272727,0.038181818181818185,0.001136363636363491
31,4,12,23,3,1,categorical,3,threshold_binning,0.05277617399106518,0.3159090909090909,0.019999999999999973,-0.011363636363636465
32,4,0,16,1,8,continuous,0,continuous_scalar,0.0001358466298224123,0.34438131313131315,0.0,0.0
32,4,1,21,2,4,categorical,3,prototype_discretization,0.004914323966580614,0.4318181818181818,0.0,0.0
32,4,2,32,3,5,categorical,4,threshold_binning,0.04610064037594417,0.28361742424242425,0.0,0.0
32,4,3,23,2,6,continuous,0,continuous_scalar,0.2265445518116424,0.9340277777777778,0.009375,0.0
32,4,4,24,2,7,continuous,0,continuous_scalar,0.0329917009973373,0.24510732323232323,0.0,0.0
32,4,5,36,3,9,continuous,0,continuous_scalar,0.23688059361395003,0.9305555555555556,0.013636363636363691,0.0
32,4,6,18,2,1,categorical,5,threshold_binning,0.07785961296923975,0.7263257575757576,0.0,0.0
32,4,7,22,2,5,continuous,0,continuous_scalar,0.026452071002442887,0.28345959595959597,0.0,0.0
32,4,8,26,2,9,continuous,0,continuous_scalar,0.014138594750986859,0.617739898989899,0.0,0.0
32,4,9,8,1,0,continuous,0,continuous_scalar,0.020048147749805033,0.21022727272727273,0.0,0.0
32,4,10,14,1,6,categorical,3,threshold_binning,0.04337963982055921,0.6145833333333334,0.0,0.0
32,4,11,10,1,2,categorical,3,prototype_discretization,0.14577945072928758,0.648989898989899,0.0,0.0
32,4,12,19,2,2,continuous,0,continuous_scalar,0.05866901403681293,0.2204861111111111,0.0,0.0
32,4,13,13,1,5,continuous,0,continuous_scalar,0.00838092649941954,0.8852588383838383,0.0,0.0
32,4,14,15,1,7,categorical,4,prototype_discretization,0.002247871209078159,0.20233585858585856,0.0,0.0
32,4,15,11,1,3,continuous,0,continuous_scalar,0.05547701383709115,0.9234532828282829,0.004166666666666696,0.0
33,4,0,11,1,3,continuous,0,continuous_scalar,0.026319061403008596,0.27136752136752135,0.0037037037037036757,0.03009259259259256
33,4,1,24,3,4,continuous,0,continuous_scalar,0.1911442198227973,0.35986467236467234,0.10975783475783478,-0.026175213675213693
33,4,2,14,2,0,continuous,0,continuous_scalar,0.009588807228185305,0.1718304843304843,0.008333333333333349,-0.01851851851851849
33,4,3,7,0,7,continuous,0,continuous_scalar,0.015304464455374136,0.10487891737891737,0.0018518518518518378,0.03009259259259256
33,4,4,0,0,0,continuous,0,continuous_scalar,0.10331103570098568,0.23219373219373218,0.008333333333333349,0.03009259259259256
